Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,102.610001,105.849998,92.389999,97.339996,94.051270,1260138200
2016-02-01,96.470001,98.889999,92.589996,96.690002,93.423241,810397700
2016-03-01,97.650002,110.419998,97.419998,108.989998,105.879097,745426900
2016-04-01,108.779999,112.389999,92.510002,93.739998,91.064392,871483100
2016-05-01,93.970001,100.730003,89.470001,99.860001,97.009705,900181300
2016-06-01,99.019997,101.889999,91.500000,95.599998,93.436729,779310200
2016-07-01,95.489998,104.550003,94.370003,104.209999,101.851898,683474400
2016-08-01,104.410004,110.230003,104.000000,106.099998,103.699127,625200700
2016-09-01,106.139999,116.180000,102.529999,113.050003,111.090431,967434100
2016-10-01,112.709999,118.690002,112.279999,113.540001,111.571930,686201700
2016-11-01,113.459999,113.769997,104.080002,110.519997,108.604279,720875800
2016-12-01,110.370003,118.019997,108.250000,115.820000,114.396751,608331500
